'y-axis saved as y
'x,ear_i_0fillin_inbi_032821.xy,Bkg,Ycalc,Diff,Structure
7.65,215,244.320416,244.320416,-29.3204159,0
7.665,215,244.18119,244.18119,-29.1811901,0
7.68,203,244.041972,244.041972,-41.0419716,0
7.695,228,243.90276,243.90276,-15.9027604,0
7.71,232,243.763557,243.763557,-11.7635566,0
7.725,245,243.62436,243.62436,1.37563977,0
7.74,236,243.485172,243.485172,-7.4851715,0
7.755,221,243.34599,243.34599,-22.3459905,0
7.77,221,243.206817,243.206817,-22.2068172,0
7.785,240,243.067652,243.067652,-3.06765179,0
7.8,247,242.928494,242.928494,4.07150564,0
7.815,245,242.789345,242.789345,2.21065502,0
7.83,201,242.650204,242.650204,-41.6502038,0
7.845,228,242.511071,242.511071,-14.5110708,0
7.86,233,242.371946,242.371946,-9.37194614,0
7.875,246,242.23283,242.23283,3.76717007,0
7.89,214,242.093722,242.093722,-28.0937222,0
7.905,226,241.954623,241.954623,-15.9546232,0
7.92,235,241.815533,241.815533,-6.8155328,0
7.935,210,241.676451,241.676451,-31.6764512,0
7.95,221,241.537379,241.537379,-20.5373786,0
7.965,221,241.398315,241.398315,-20.3983149,0
7.98,220,241.25926,241.25926,-21.2592603,0
7.995,198,241.120215,241.120215,-43.1202148,0
8.01,221,240.981179,240.981179,-19.9811787,0
8.025,204,240.842152,240.842152,-36.8421518,0
8.04,226,240.703134,240.703134,-14.7031345,0
8.055,225,240.564127,240.564127,-15.5641266,0
8.07,228,240.425128,240.425128,-12.4251284,0
8.085,208,240.28614,240.28614,-32.2861399,0
8.1,202,240.147161,240.147161,-38.1471613,0
8.115,241,240.008192,240.008192,0.991807501,0
8.13,211,239.869234,239.869234,-28.8692337,0
8.145,214,239.730285,239.730285,-25.730285,0
8.16,211,239.591347,239.591347,-28.5913465,0
8.175,222,239.452418,239.452418,-17.4524183,0
8.19,211,239.3135,239.3135,-28.3135004,0
8.205,217,239.174593,239.174593,-22.174593,0
8.22,215,239.035696,239.035696,-24.0356961,0
8.235,208,238.89681,238.89681,-30.8968098,0
8.25,214,238.757934,238.757934,-24.7579343,0
8.265,225,238.61907,238.61907,-13.6190696,0
8.28,220,238.480216,238.480216,-18.4802158,0
8.295,194,238.341373,238.341373,-44.341373,0
8.31,211,238.202541,238.202541,-27.2025412,0
8.325,209,238.063721,238.063721,-29.0637207,0
8.34,220,237.924911,237.924911,-17.9249114,0
8.355,206,237.786113,237.786113,-31.7861134,0
8.37,222,237.647327,237.647327,-15.6473269,0
8.385,219,237.508552,237.508552,-18.508552,0
8.4,228,237.369789,237.369789,-9.36978861,0
8.415,228,237.231037,237.231037,-9.23103697,0
8.43,228,237.092297,237.092297,-9.09229714,0
8.445,228,236.953569,236.953569,-8.9535692,0
8.46,197,236.814853,236.814853,-39.8148532,0
8.475,226,236.676149,236.676149,-10.6761494,0
8.49,205,236.537458,236.537458,-31.5374576,0
8.505,198,236.398778,236.398778,-38.3987781,0
8.52,216,236.260111,236.260111,-20.260111,0
8.535,219,236.121456,236.121456,-17.1214563,0
8.55,202,235.982814,235.982814,-33.9828141,0
8.565,221,235.844184,235.844184,-14.8441845,0
8.58,240,235.705568,235.705568,4.29443244,0
8.595,199,235.566963,235.566963,-36.5669634,0
8.61,227,235.428372,235.428372,-8.42837216,0
8.625,220,235.289794,235.289794,-15.2897939,0
8.64,218,235.151229,235.151229,-17.1512286,0
8.655,196,235.012676,235.012676,-39.0126765,0
8.67,196,234.874138,234.874138,-38.8741375,0
8.685,197,234.735612,234.735612,-37.7356119,0
8.7,211,234.5971,234.5971,-23.5970997,0
8.715,217,234.458601,234.458601,-17.458601,0
8.73,236,234.320116,234.320116,1.67988416,0
8.745,209,234.181644,234.181644,-25.1816443,0
8.76,244,234.043187,234.043187,9.95681341,0
8.775,210,233.904743,233.904743,-23.9047427,0
8.79,228,233.766313,233.766313,-5.76631267,0
8.805,231,233.627897,233.627897,-2.62789668,0
8.82,242,233.489495,233.489495,8.51050522,0
8.835,220,233.351107,233.351107,-13.3511071,0
8.85,221,233.212734,233.212734,-12.2127336,0
8.865,229,233.074375,233.074375,-4.07437452,0
8.88,260,232.93603,232.93603,27.0639701,0
8.895,221,232.7977,232.7977,-11.7976997,0
8.91,203,232.659384,232.659384,-29.6593842,0
8.925,220,232.521083,232.521083,-12.5210834,0
8.94,221,232.382797,232.382797,-11.3827974,0
8.955,221,232.244526,232.244526,-11.2445262,0
8.97,223,232.10627,232.10627,-9.10627004,0
8.985,181,231.968029,231.968029,-50.9680289,0
9,221,231.829803,231.829803,-10.8298029,0
9.015,204,231.691592,231.691592,-27.6915921,0
9.03,215,231.553397,231.553397,-16.5533966,0
9.045,209,231.415216,231.415216,-22.4152164,0
9.06,205,231.277052,231.277052,-26.2770518,0
9.075,213,231.138903,231.138903,-18.1389027,0
9.09,217,231.000769,231.000769,-14.0007693,0
9.105,232,230.862652,230.862652,1.13734843,0
9.12,219,230.72455,230.72455,-11.7245497,0
9.135,189,230.586464,230.586464,-41.5864637,0
9.15,213,230.448394,230.448394,-17.4483937,0
9.165,217,230.31034,230.31034,-13.3103397,0
9.18,211,230.172302,230.172302,-19.1723019,0
9.195,216,230.03428,230.03428,-14.0342804,0
9.21,232,229.896275,229.896275,2.10372487,0
9.225,204,229.758286,229.758286,-25.7582863,0
9.24,220,229.620314,229.620314,-9.62031398,0
9.255,200,229.482358,229.482358,-29.4823582,0
9.27,222,229.344419,229.344419,-7.34441912,0
9.285,220,229.206497,229.206497,-9.20649677,0
9.3,193,229.068591,229.068591,-36.0685912,0
9.315,188,228.930703,228.930703,-40.9307026,0
9.33,220,228.792831,228.792831,-8.79283102,0
9.345,217,228.654976,228.654976,-11.6549765,0
9.36,216,228.517139,228.517139,-12.5171391,0
9.375,194,228.379319,228.379319,-34.379319,0
9.39,189,228.241516,228.241516,-39.2415162,0
9.405,192,228.103731,228.103731,-36.1037308,0
9.42,211,227.965963,227.965963,-16.9659629,0
9.435,198,227.828213,227.828213,-29.8282126,0
9.45,178,227.69048,227.69048,-49.69048,0
9.465,195,227.552765,227.552765,-32.5527651,0
9.48,233,227.415068,227.415068,5.584932,0
9.495,203,227.277389,227.277389,-24.2773888,0
9.51,215,227.139728,227.139728,-12.1397277,0
9.525,200,227.002085,227.002085,-27.0020846,0
9.54,206,226.86446,226.86446,-20.8644597,0
9.555,204,226.726853,226.726853,-22.726853,0
9.57,192,226.589265,226.589265,-34.5892646,0
9.585,196,226.451695,226.451695,-30.4516947,0
9.6,208,226.314143,226.314143,-18.3141432,0
9.615,194,226.17661,226.17661,-32.1766103,0
9.63,210,226.039096,226.039096,-16.0390961,0
9.645,199,225.901601,225.901601,-26.9016006,0
9.66,188,225.764124,225.764124,-37.7641239,0
9.675,215,225.626666,225.626666,-10.6266661,0
9.69,210,225.489227,225.489227,-15.4892273,0
9.705,197,225.351808,225.351808,-28.3518075,0
9.72,210,225.214407,225.214407,-15.2144069,0
9.735,198,225.077026,225.077026,-27.0770256,0
9.75,200,224.939663,224.939663,-24.9396635,0
9.765,196,224.802321,224.802321,-28.8023208,0
9.78,203,224.664998,224.664998,-21.6649976,0
9.795,209,224.527694,224.527694,-15.5276939,0
9.81,196,224.39041,224.39041,-28.3904099,0
9.825,183,224.253146,224.253146,-41.2531455,0
9.84,202,224.115901,224.115901,-22.115901,0
9.855,202,223.978676,223.978676,-21.9786763,0
9.87,192,223.841472,223.841472,-31.8414716,0
9.885,192,223.704287,223.704287,-31.7042869,0
9.9,189,223.567122,223.567122,-34.5671223,0
9.915,195,223.429978,223.429978,-28.429978,0
9.93,203,223.292854,223.292854,-20.2928539,0
9.945,198,223.15575,223.15575,-25.1557501,0
9.96,205,223.018667,223.018667,-18.0186668,0
9.975,201,222.881604,222.881604,-21.881604,0
9.99,205,222.744562,222.744562,-17.7445618,0
10.005,201,222.60754,222.60754,-21.6075402,0
10.02,215,222.470539,222.470539,-7.47053944,0
10.035,214,222.333559,222.333559,-8.33355948,0
10.05,207,222.1966,222.1966,-15.1966004,0
10.065,208,222.059662,222.059662,-14.0596624,0
10.08,207,221.922745,221.922745,-14.9227454,0
10.095,208,221.78585,221.78585,-13.7858496,0
